"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.05,0.736117982093592,0.60981981981982,0.765098722415796,0.0485497879742145,0.0706411182662774,0.0580676537274848,"L2_Linear_SVM"
0.06,0.738010231485841,0.604444444444444,0.765087108013937,0.0478137505984556,0.0782791547174342,0.0540087195660077,"L2_Linear_SVM"
0.015,0.738207964061623,0.694624624624625,0.636898954703833,0.0481752503649029,0.0795170493033471,0.105919556190773,"L2_Linear_SVM"
0.025,0.737971237788311,0.656126126126126,0.702973286875726,0.0492392699505061,0.0764474310757634,0.0808539065752469,"L2_Linear_SVM"
0.035,0.738252006361762,0.631141141141141,0.732067363530778,0.0497904011157804,0.0807167242785077,0.0857008570558829,"L2_Linear_SVM"
0.05,0.736876693766938,0.626651651651652,0.727282229965157,0.0478513492230292,0.0833476528220007,0.075521037688979,"L2_Linear_SVM"
0.06,0.736606606606607,0.621876876876877,0.731080139372822,0.0465203097344811,0.0751156062068942,0.0694544124613627,"L2_Linear_SVM"
0.015,0.726379515403906,0.71957957957958,0.642520325203252,0.0581537041654469,0.069946845892775,0.089427899848684,"L2_Linear_SVM"
0.025,0.72560907597493,0.653213213213213,0.716689895470383,0.0577225738295327,0.0798112091419923,0.0739878691177562,"L2_Linear_SVM"
0.035,0.728745304537987,0.623768768768769,0.748292682926829,0.0555766716881227,0.0840059371334202,0.0662716198981105,"L2_Linear_SVM"
0.05,0.727274591664836,0.607042042042042,0.755447154471545,0.0517915190246635,0.0830391655400353,0.0635455983076068,"L2_Linear_SVM"
0.06,0.728918700930896,0.605930930930931,0.759279907084785,0.0494491931031758,0.0817087108270986,0.0676010845551074,"L2_Linear_SVM"
0.015,0.724593382581187,0.716351351351351,0.628594657375145,0.0575749448904684,0.0716290522970491,0.0930562258106305,"L2_Linear_SVM"
0.025,0.725118507008751,0.666921921921922,0.694645760743322,0.0582926340628902,0.0741464616857495,0.0777771861871994,"L2_Linear_SVM"
0.035,0.724892357514309,0.621801801801802,0.736747967479675,0.0569038120998522,0.0781862197243465,0.0797800563742719,"L2_Linear_SVM"
0.05,0.719974652352701,0.591336336336336,0.745807200929152,0.0557874510963218,0.0687501814791891,0.0766543375843061,"L2_Linear_SVM"
0.06,0.718518849860313,0.582102102102102,0.751080139372822,0.0546177750959143,0.0696220512551533,0.073721048013929,"L2_Linear_SVM"
