X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,new_auc,model
Otu06117,Otu09541,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06128,Otu06503,Otu11097,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06156,Otu08716,Otu08870,Otu09240,Otu10293,Otu10444,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06356,Otu06977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06452,Otu08685,Otu08959,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06486,Otu08292,Otu08791,Otu10378,Otu10471,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06515,Otu10280,Otu10806,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06609,Otu07411,Otu08310,Otu09808,Otu09847,Otu10186,Otu10456,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06615,Otu07235,Otu08963,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06646,Otu09539,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06658,Otu07534,Otu09165,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06700,Otu10142,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06705,Otu10509,Otu10839,Otu10879,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06746,Otu08931,Otu09103,Otu10840,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06766,Otu07045,Otu07290,Otu08590,Otu10534,Otu10820,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06812,Otu07066,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06847,Otu10775,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu06897,Otu08291,Otu10911,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07000,Otu08658,Otu09773,Otu09774,Otu09893,Otu10275,Otu11236,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07094,Otu11010,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07164,Otu11096,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07166,Otu10909,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07393,Otu09238,Otu09364,Otu10925,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07428,Otu08744,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu07648,Otu07943,Otu09216,Otu11239,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu08072,Otu10969,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu08138,Otu10441,Otu10589,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu08878,Otu10242,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu09657,Otu10662,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7547008547008547,Random_Forest
Otu00462,Otu04448,Otu06075,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00520,Otu04360,Otu04810,Otu05861,Otu06060,Otu06149,Otu06477,Otu07111,Otu07196,Otu09376,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00540,Otu03520,Otu03528,Otu03579,Otu03845,Otu04242,Otu04559,Otu04564,Otu04604,Otu04856,Otu05102,Otu05157,Otu05167,Otu05488,Otu05601,Otu05706,Otu06816,Otu07190,Otu07395,Otu09188,Otu09260,Otu09388,Otu09476,Otu09779,Otu09864,Otu10158,Otu10423,Otu10718,Otu10725,Otu10728,Otu10849,Otu10877,Otu11118,,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00548,Otu01439,Otu02906,Otu07063,Otu08039,Otu09871,Otu10485,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00637,Otu02953,Otu03409,Otu03897,Otu04918,Otu05112,Otu05877,Otu05931,Otu06047,Otu06295,Otu06464,Otu06660,Otu07401,Otu07539,Otu07614,Otu07748,Otu07978,Otu08003,Otu08353,Otu08387,Otu08481,Otu09136,Otu09404,Otu10126,Otu10147,Otu10955,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00652,Otu03774,Otu03805,Otu03896,Otu04048,Otu04638,Otu04676,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00660,Otu00889,Otu01595,Otu02112,Otu02156,Otu02659,Otu02692,Otu02745,Otu02914,Otu04191,Otu05350,Otu05511,Otu07203,Otu07650,Otu10205,Otu10512,Otu10952,Otu10953,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00725,Otu04407,Otu04538,Otu04784,Otu05218,Otu05349,Otu05444,Otu06923,Otu07070,Otu07901,Otu08276,Otu08710,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00774,Otu01313,Otu02261,Otu03209,Otu03555,Otu04609,Otu05792,Otu05909,Otu06970,Otu07238,Otu07515,Otu09554,Otu09939,Otu10108,Otu10308,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00892,Otu02014,Otu02249,Otu02378,Otu02487,Otu05506,Otu05697,Otu07248,Otu10562,Otu11143,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu00981,Otu01233,Otu04063,Otu04750,Otu04792,Otu05924,Otu06785,Otu07032,Otu07732,Otu09193,Otu09348,Otu09600,Otu10978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01008,Otu01638,Otu02534,Otu03160,Otu03249,Otu03556,Otu03649,Otu04227,Otu04443,Otu04920,Otu09793,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01033,Otu02632,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01046,Otu07970,Otu08365,Otu08436,Otu08445,Otu10183,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01051,Otu02049,Otu03306,Otu03580,Otu03596,Otu03872,Otu04406,Otu04512,Otu04555,Otu04847,Otu05009,Otu05330,Otu05481,Otu05565,Otu06109,Otu06632,Otu06934,Otu06956,Otu07059,Otu07225,Otu07476,Otu08761,Otu08909,Otu09264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01055,Otu04533,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01065,Otu03925,Otu05862,Otu08364,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01080,Otu01932,Otu01969,Otu02402,Otu03391,Otu03976,Otu04708,Otu05149,Otu06416,Otu07328,Otu07856,Otu10792,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01096,Otu02088,Otu02713,Otu02797,Otu03531,Otu03673,Otu04293,Otu04302,Otu04404,Otu04465,Otu04711,Otu04864,Otu04983,Otu05050,Otu05164,Otu05644,Otu05870,Otu05939,Otu05958,Otu06275,Otu07289,Otu07860,Otu08157,Otu10098,Otu10643,Otu10794,Otu11029,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01132,Otu05113,Otu05186,Otu05730,Otu06203,Otu06208,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01147,Otu02069,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01152,Otu01837,Otu02832,Otu03165,Otu03344,Otu03471,Otu03719,Otu05346,Otu06264,Otu06975,Otu07128,Otu07167,Otu07441,Otu10705,Otu11237,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01169,Otu02254,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01204,Otu05395,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01221,Otu02064,Otu02872,Otu04477,Otu05207,Otu05804,Otu05942,Otu06338,Otu07897,Otu08159,Otu08238,Otu08618,Otu08627,Otu10188,Otu10374,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01240,Otu01485,Otu02627,Otu03017,Otu03031,Otu03817,Otu05300,Otu05528,Otu05638,Otu09196,Otu11182,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01273,Otu01636,Otu01835,Otu05138,Otu05348,Otu05974,Otu06028,Otu06084,Otu06132,Otu07388,Otu07936,Otu07937,Otu08695,Otu10112,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01277,Otu01330,Otu01859,Otu02266,Otu02995,Otu03898,Otu04410,Otu04590,Otu06166,Otu06518,Otu06848,Otu06937,Otu07055,Otu07671,Otu08148,Otu08635,Otu10143,Otu10243,Otu10274,Otu10386,Otu10493,Otu10703,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01286,Otu01606,Otu08859,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01298,Otu01331,Otu02050,Otu03376,Otu03414,Otu05589,Otu06525,Otu06981,Otu07042,Otu09642,Otu09833,Otu11091,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01326,Otu03938,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01332,Otu02736,Otu02893,Otu02982,Otu03997,Otu04640,Otu04849,Otu05266,Otu05500,Otu06432,Otu06441,Otu06445,Otu06446,Otu06447,Otu06694,Otu08031,Otu08180,Otu08489,Otu09275,Otu09283,Otu09295,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01368,Otu02809,Otu03462,Otu03934,Otu04475,Otu05012,Otu06100,Otu06222,Otu06245,Otu06255,Otu06774,Otu06924,Otu07168,Otu07819,Otu07887,Otu10003,Otu10497,Otu10797,Otu11149,Otu11219,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01432,Otu02667,Otu03180,Otu04974,Otu05720,Otu06504,Otu08040,Otu10765,Otu10964,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01470,Otu02093,Otu02390,Otu03548,Otu05163,Otu07368,Otu07633,Otu07723,Otu07888,Otu08706,Otu08881,Otu09041,Otu10698,Otu10810,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01473,Otu02512,Otu06829,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01481,Otu03759,Otu04773,Otu06699,Otu07051,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01491,Otu01748,Otu03255,Otu04371,Otu05123,Otu05317,Otu05397,Otu05824,Otu05985,Otu06714,Otu06836,Otu07023,Otu07180,Otu07560,Otu08476,Otu08479,Otu08525,Otu08827,Otu09123,Otu09265,Otu09482,Otu09841,Otu09927,Otu10070,Otu10321,Otu11068,Otu11084,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01502,Otu03807,Otu08612,Otu08956,Otu09416,Otu09520,Otu11281,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01549,Otu01844,Otu01988,Otu03611,Otu03668,Otu04075,Otu04800,Otu04949,Otu04955,Otu05107,Otu06164,Otu07181,Otu07228,Otu07443,Otu07467,Otu07757,Otu08927,Otu11164,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01561,Otu03269,Otu04232,Otu05897,Otu08544,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01562,Otu03417,Otu03922,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01580,Otu02068,Otu02377,Otu02669,Otu03597,Otu03908,Otu04203,Otu04261,Otu05666,Otu07381,Otu10803,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01639,Otu02674,Otu02820,Otu05381,Otu06155,Otu06358,Otu10313,Otu11122,Otu11183,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01662,Otu05679,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01696,Otu02206,Otu04137,Otu06110,Otu07281,Otu07618,Otu07688,Otu08131,Otu10235,Otu10434,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01698,Otu02429,Otu02842,Otu02868,Otu03075,Otu04843,Otu04860,Otu05339,Otu05701,Otu06466,Otu06551,Otu06828,Otu06971,Otu07184,Otu07456,Otu08183,Otu09346,Otu09748,Otu09804,Otu09805,Otu09854,Otu09977,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01710,Otu02876,Otu03946,Otu03966,Otu06033,Otu06631,Otu06838,Otu07677,Otu09861,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01739,Otu01750,Otu03940,Otu04241,Otu05073,Otu05193,Otu05254,Otu07155,Otu07922,Otu08890,Otu08937,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01755,Otu02873,Otu03351,Otu05013,Otu05056,Otu07127,Otu07251,Otu08581,Otu10127,Otu10486,Otu11242,Otu11277,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01770,Otu01834,Otu03620,Otu04000,Otu06557,Otu06592,Otu06644,Otu07955,Otu08775,Otu09993,Otu10140,Otu11258,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01802,Otu01822,Otu01827,Otu01845,Otu02142,Otu03018,Otu03019,Otu03205,Otu03887,Otu04607,Otu05048,Otu05094,Otu05900,Otu05930,Otu06179,Otu06180,Otu06437,Otu07531,Otu07596,Otu07599,Otu07640,Otu08770,Otu08835,Otu09201,Otu11140,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01816,Otu05404,Otu05740,Otu08540,Otu09040,Otu09904,Otu10611,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
Otu01842,Otu02572,Otu03962,Otu07503,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7262820512820513,Random_Forest
