	level_1	AUC
357	Cross-validation	0.6821106821106822
358	Cross-validation	0.7235449735449736
359	Cross-validation	0.6321138211382114
360	Cross-validation	0.6933719433719434
361	Cross-validation	0.7483912483912484
362	Cross-validation	0.7673745173745175
363	Cross-validation	0.7437169312169312
364	Cross-validation	0.6243224932249323
365	Cross-validation	0.7374517374517374
366	Cross-validation	0.666988416988417
367	Cross-validation	0.6306306306306306
368	Cross-validation	0.7387566137566138
369	Cross-validation	0.6897018970189702
370	Cross-validation	0.6676319176319175
371	Cross-validation	0.7258687258687259
372	Cross-validation	0.6911196911196911
373	Cross-validation	0.6822089947089947
374	Cross-validation	0.763550135501355
375	Cross-validation	0.7052767052767053
376	Cross-validation	0.7393822393822393
377	Cross-validation	0.6985199485199485
378	Cross-validation	0.7698412698412698
379	Cross-validation	0.6724254742547425
380	Cross-validation	0.6505791505791506
381	Cross-validation	0.6734234234234234
382	Cross-validation	0.6685971685971686
383	Cross-validation	0.6127645502645503
384	Cross-validation	0.8147018970189702
385	Cross-validation	0.731016731016731
386	Cross-validation	0.6531531531531531
387	Cross-validation	0.6856499356499357
388	Cross-validation	0.6789021164021164
389	Cross-validation	0.7069783197831978
390	Cross-validation	0.7824967824967826
391	Cross-validation	0.6370656370656371
392	Cross-validation	0.7937580437580438
393	Cross-validation	0.689484126984127
394	Cross-validation	0.6615853658536586
395	Cross-validation	0.7168597168597168
396	Cross-validation	0.7586872586872586
397	Cross-validation	0.6586229086229087
398	Cross-validation	0.6967592592592593
399	Cross-validation	0.6717479674796748
400	Cross-validation	0.6705276705276705
401	Cross-validation	0.6788931788931789
402	Cross-validation	0.7123552123552123
403	Cross-validation	0.734457671957672
404	Cross-validation	0.7039295392953929
405	Cross-validation	0.638030888030888
406	Cross-validation	0.6373873873873874
407	Cross-validation	0.7416344916344917
408	Cross-validation	0.7136243386243385
409	Cross-validation	0.6165311653116532
410	Cross-validation	0.7538610038610039
411	Cross-validation	0.7226512226512226
412	Cross-validation	0.6557271557271558
413	Cross-validation	0.7086640211640212
414	Cross-validation	0.7449186991869918
415	Cross-validation	0.6666666666666667
416	Cross-validation	0.7274774774774775
417	Cross-validation	0.675032175032175
418	Cross-validation	0.7037037037037037
419	Cross-validation	0.6317750677506775
420	Cross-validation	0.6573359073359073
421	Cross-validation	0.7474259974259974
422	Cross-validation	0.654118404118404
423	Cross-validation	0.7175925925925926
