	level_1	AUC
368	Cross-validation	0.7407407407407407
369	Cross-validation	0.7188346883468835
370	Cross-validation	0.7535392535392536
371	Cross-validation	0.7857142857142857
372	Cross-validation	0.7483912483912484
373	Cross-validation	0.6527777777777778
374	Cross-validation	0.674119241192412
375	Cross-validation	0.7014157014157015
376	Cross-validation	0.6557271557271557
377	Cross-validation	0.7162162162162162
378	Cross-validation	0.8088624338624338
379	Cross-validation	0.7120596205962059
380	Cross-validation	0.7773487773487774
381	Cross-validation	0.7425997425997426
382	Cross-validation	0.6949806949806949
383	Cross-validation	0.7592592592592592
384	Cross-validation	0.6836043360433603
385	Cross-validation	0.7895752895752896
386	Cross-validation	0.7342342342342343
387	Cross-validation	0.8127413127413128
388	Cross-validation	0.6805555555555557
389	Cross-validation	0.7723577235772358
390	Cross-validation	0.6776061776061776
391	Cross-validation	0.7136422136422137
392	Cross-validation	0.7734877734877735
393	Cross-validation	0.7222222222222222
394	Cross-validation	0.7181571815718157
395	Cross-validation	0.7400257400257401
396	Cross-validation	0.7844272844272844
397	Cross-validation	0.6660231660231661
398	Cross-validation	0.7242063492063492
399	Cross-validation	0.6910569105691057
400	Cross-validation	0.638996138996139
401	Cross-validation	0.7014157014157014
402	Cross-validation	0.6898326898326897
403	Cross-validation	0.7367724867724867
404	Cross-validation	0.7804878048780488
405	Cross-validation	0.8005148005148004
406	Cross-validation	0.7265122265122266
407	Cross-validation	0.6943371943371943
408	Cross-validation	0.7255291005291006
409	Cross-validation	0.6294037940379402
410	Cross-validation	0.6904761904761905
411	Cross-validation	0.7528957528957528
412	Cross-validation	0.6415701415701416
413	Cross-validation	0.7037037037037037
414	Cross-validation	0.7791327913279132
415	Cross-validation	0.6981981981981982
416	Cross-validation	0.7657657657657658
417	Cross-validation	0.7007722007722008
418	Cross-validation	0.7546296296296295
419	Cross-validation	0.6863143631436315
420	Cross-validation	0.6711711711711712
421	Cross-validation	0.7503217503217504
422	Cross-validation	0.790862290862291
423	Cross-validation	0.7612433862433863
424	Cross-validation	0.6158536585365854
425	Cross-validation	0.6821106821106822
426	Cross-validation	0.6891891891891893
427	Cross-validation	0.6615186615186616
428	Cross-validation	0.7956349206349207
429	Cross-validation	0.801490514905149
430	Cross-validation	0.8455598455598456
431	Cross-validation	0.7702702702702704
432	Cross-validation	0.6705276705276706
433	Cross-validation	0.6428571428571428
434	Cross-validation	0.6612466124661247
435	Cross-validation	0.7046332046332047
436	Cross-validation	0.7574002574002574
437	Cross-validation	0.6602316602316602
438	Cross-validation	0.7711640211640212
439	Cross-validation	0.7012195121951219
440	Cross-validation	0.7239382239382239
441	Cross-validation	0.758043758043758
442	Cross-validation	0.6628056628056629
443	Cross-validation	0.6335978835978835
444	Cross-validation	0.7621951219512195
445	Cross-validation	0.6653796653796654
446	Cross-validation	0.6763191763191764
447	Cross-validation	0.738095238095238
448	Cross-validation	0.8134920634920635
449	Cross-validation	0.6964769647696477
450	Cross-validation	0.6705276705276705
451	Cross-validation	0.781853281853282
452	Cross-validation	0.8024453024453024
453	Cross-validation	0.6455026455026455
454	Cross-validation	0.7730352303523036
455	Cross-validation	0.7258687258687259
456	Cross-validation	0.8294723294723295
457	Cross-validation	0.7818532818532818
458	Cross-validation	0.6712962962962963
459	Cross-validation	0.712059620596206
460	Cross-validation	0.6216216216216216
461	Cross-validation	0.787001287001287
462	Cross-validation	0.7039897039897041
463	Cross-validation	0.7387566137566138
464	Cross-validation	0.7208672086720866
465	Cross-validation	0.7445302445302445
466	Cross-validation	0.6325611325611326
467	Cross-validation	0.8236808236808237
468	Cross-validation	0.7711640211640213
469	Cross-validation	0.7140921409214092
