	level_1	AUC
477	Cross-validation	0.6369047619047619
478	Cross-validation	0.7103174603174603
479	Cross-validation	0.7705026455026455
480	Cross-validation	0.7992277992277993
481	Cross-validation	0.7683397683397684
482	Cross-validation	0.6541005291005291
483	Cross-validation	0.6408730158730157
484	Cross-validation	0.6851851851851851
485	Cross-validation	0.6441441441441442
486	Cross-validation	0.7129987129987131
487	Cross-validation	0.7526455026455026
488	Cross-validation	0.8267195767195766
489	Cross-validation	0.6428571428571429
490	Cross-validation	0.777992277992278
491	Cross-validation	0.8198198198198198
492	Cross-validation	0.6276455026455026
493	Cross-validation	0.7308201058201059
494	Cross-validation	0.5932539682539684
495	Cross-validation	0.6943371943371943
496	Cross-validation	0.7277992277992279
497	Cross-validation	0.6666666666666666
498	Cross-validation	0.6256613756613757
499	Cross-validation	0.7718253968253969
500	Cross-validation	0.7722007722007722
501	Cross-validation	0.6634491634491634
502	Cross-validation	0.7132498352010549
503	Cross-validation	0.8556361239288068
504	Cross-validation	0.6410678971654582
505	Cross-validation	0.7142857142857143
506	Cross-validation	0.6734234234234234
507	Cross-validation	0.6545814106789717
508	Cross-validation	0.7254449571522743
509	Cross-validation	0.7330257086354648
510	Cross-validation	0.6576576576576576
511	Cross-validation	0.6312741312741313
512	Cross-validation	0.8319050758075147
513	Cross-validation	0.7541199736321688
514	Cross-validation	0.6282135794330916
515	Cross-validation	0.8465250965250967
516	Cross-validation	0.6930501930501931
517	Cross-validation	0.8134475939353988
518	Cross-validation	0.6723796967699407
519	Cross-validation	0.6176664469347395
520	Cross-validation	0.5933075933075933
521	Cross-validation	0.7702702702702703
522	Cross-validation	0.7745550428477258
523	Cross-validation	0.7903757415952538
524	Cross-validation	0.7600527356624919
525	Cross-validation	0.7046332046332047
526	Cross-validation	0.7477477477477479
527	Cross-validation	0.7528015820698748
528	Cross-validation	0.6486486486486487
529	Cross-validation	0.6990771259063941
530	Cross-validation	0.7586872586872587
531	Cross-validation	0.7368082368082368
532	Cross-validation	0.7181938035596572
533	Cross-validation	0.5807514831905076
534	Cross-validation	0.7303889255108768
535	Cross-validation	0.6840411840411841
536	Cross-validation	0.7902187902187903
537	Cross-validation	0.6427158866183256
538	Cross-validation	0.7079762689518787
539	Cross-validation	0.6822676334871457
540	Cross-validation	0.6422136422136422
541	Cross-validation	0.732947232947233
