"cost","loss","epsilon","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.01,"L2_primal",0.001,0.689388618583741,0.168468468468468,0.953833914053426,0.0596305886560096,0.075427866313652,0.0398385940001413,"L2_Logistic_Regression"
0.01,"L2_primal",0.01,0.689521653186287,0.168415915915916,0.954119628339141,0.0596013171437901,0.0755299440360023,0.0396842444596633,"L2_Logistic_Regression"
0.01,"L2_primal",0.1,0.686283416691953,0.182288288288288,0.947809523809524,0.0605563364770282,0.0759256727538386,0.0418437557574987,"L2_Logistic_Regression"
0.1,"L2_dual",0.001,0.708818493580689,0.498572072072072,0.813853658536585,0.0540797597615947,0.0784760930558238,0.0648633082898436,"L2_Logistic_Regression"
0.1,"L2_dual",0.01,0.708815799248726,0.498516516516517,0.813853658536585,0.0540959339372289,0.0784849120186229,0.0647932117630794,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.70888685898442,0.497863363363363,0.814142857142857,0.0541126134187474,0.0782576255039522,0.0649827684685956,"L2_Logistic_Regression"
0.1,"L1",0.001,0.589923689804787,0.737100600600601,0.328909407665505,0.119105637598493,0.36898019094305,0.457001737304831,"L2_Logistic_Regression"
0.1,"L1",0.01,0.589923689804787,0.737100600600601,0.328909407665505,0.119105637598493,0.36898019094305,0.457001737304831,"L2_Logistic_Regression"
0.1,"L1",0.1,0.589923689804787,0.737157657657658,0.328909407665505,0.119105637598493,0.368945180084919,0.457001737304831,"L2_Logistic_Regression"
0.1,"L2_primal",0.001,0.708806571379742,0.498572072072072,0.813853658536585,0.0540794637977697,0.0784760930558238,0.0647932117630794,"L2_Logistic_Regression"
0.1,"L2_primal",0.01,0.708810373962813,0.498463963963964,0.813854819976771,0.0540729752776284,0.0780625825558231,0.0648443743015128,"L2_Logistic_Regression"
0.1,"L2_primal",0.1,0.709023929853198,0.497528528528529,0.814759581881533,0.0540264783101873,0.0783563604923155,0.0643136479039086,"L2_Logistic_Regression"
0.5,"L2_dual",0.001,0.713828184456233,0.541174174174174,0.777114982578397,0.0507686058025742,0.0785753973911907,0.067063995070209,"L2_Logistic_Regression"
0.5,"L2_dual",0.01,0.713825542441396,0.541174174174174,0.777067363530778,0.050760478411942,0.0785753973911907,0.0670493883730274,"L2_Logistic_Regression"
0.5,"L2_dual",0.1,0.713784258997674,0.541172672672673,0.777020905923345,0.0507226168111202,0.0785477114131763,0.0672894129274477,"L2_Logistic_Regression"
0.5,"L1",0.001,0.724492564864516,0.460072072072072,0.885839721254355,0.0542390371407069,0.0933471123740027,0.0688829177434654,"L2_Logistic_Regression"
0.5,"L1",0.01,0.724672558446949,0.459797297297297,0.88637049941928,0.054227304706344,0.0919609057391245,0.0668015879675637,"L2_Logistic_Regression"
0.5,"L1",0.1,0.722080053049565,0.455283783783784,0.887177700348432,0.0550095383893482,0.0833540962313984,0.0613465534995528,"L2_Logistic_Regression"
0.5,"L2_primal",0.001,0.713839813681277,0.54112012012012,0.777114982578397,0.0507705710242673,0.0785105843129781,0.067063995070209,"L2_Logistic_Regression"
0.5,"L2_primal",0.01,0.713857032991179,0.54160960960961,0.776974448315912,0.0507183564023626,0.078136255731107,0.0673526133007905,"L2_Logistic_Regression"
0.5,"L2_primal",0.1,0.71317935880131,0.54689039039039,0.770850174216028,0.0504620867126934,0.077870614845009,0.0681281329361254,"L2_Logistic_Regression"
1,"L2_dual",0.001,0.714097820817333,0.548573573573574,0.769757259001161,0.050013619735907,0.0792244964534459,0.0678582853542008,"L2_Logistic_Regression"
1,"L2_dual",0.01,0.714097826049046,0.548519519519519,0.769757259001161,0.0500039683143794,0.0793130677735145,0.0678582853542008,"L2_Logistic_Regression"
1,"L2_dual",0.1,0.714057744155305,0.548683183183183,0.769946573751452,0.0500174620720365,0.0790187568438714,0.0680730555843282,"L2_Logistic_Regression"
1,"L1",0.001,0.719979951205561,0.561767267267267,0.762274099883856,0.0505628553742348,0.0935458535424098,0.0831327901750209,"L2_Logistic_Regression"
1,"L1",0.01,0.720716961735254,0.559539039039039,0.764652729384437,0.0505962291793749,0.0892196770505726,0.0751278314421751,"L2_Logistic_Regression"
1,"L1",0.1,0.715266792053377,0.551696696696697,0.763112659698026,0.0504400714621879,0.0852573701924373,0.0676122423417441,"L2_Logistic_Regression"
1,"L2_primal",0.001,0.714074346995079,0.54840990990991,0.769804878048781,0.0499925329168369,0.0792216865980127,0.0679113221508665,"L2_Logistic_Regression"
1,"L2_primal",0.01,0.71403771367186,0.548518018018018,0.769804878048781,0.0500230997151568,0.0791738822421005,0.0679030618573423,"L2_Logistic_Regression"
1,"L2_primal",0.1,0.712221144489437,0.556765765765766,0.759420441347271,0.0494876054126827,0.0789145230724501,0.0697183219092573,"L2_Logistic_Regression"
0.001,"L2_dual",0.001,0.699166529770188,0.0768108108108108,0.985951219512195,0.0582303637816206,0.0430836310420926,0.0187415768546677,"L2_Logistic_Regression"
0.001,"L2_dual",0.01,0.699194996390118,0.0770285285285285,0.985903600464576,0.0582343852525337,0.0431425059933586,0.0187360569339597,"L2_Logistic_Regression"
0.001,"L2_dual",0.1,0.699193745138867,0.076972972972973,0.985951219512195,0.0582279408834696,0.0429482353375426,0.0187415768546677,"L2_Logistic_Regression"
0.001,"L1",0.001,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
0.001,"L1",0.01,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
0.001,"L1",0.1,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
0.001,"L2_primal",0.001,0.699149555478824,0.0767012012012012,0.986,0.0582342458925468,0.043034733899486,0.0187463469999995,"L2_Logistic_Regression"
0.001,"L2_primal",0.01,0.699126154028593,0.076972972972973,0.985903600464576,0.0582337004150126,0.0430144324861073,0.0187360569339597,"L2_Logistic_Regression"
0.001,"L2_primal",0.1,0.699126154028593,0.076972972972973,0.985903600464576,0.0582337004150126,0.0430144324861073,0.0187360569339597,"L2_Logistic_Regression"
0.01,"L2_dual",0.001,0.712784272948907,0.294357357357357,0.925536585365854,0.056161340795255,0.0697318838160069,0.0414651539088342,"L2_Logistic_Regression"
0.01,"L2_dual",0.01,0.712788415593294,0.294361861861862,0.925441347270616,0.0561505107034556,0.0698363347228797,0.041485452803645,"L2_Logistic_Regression"
0.01,"L2_dual",0.1,0.712815555974093,0.294195195195195,0.925536585365854,0.0561383911367867,0.0698915649992727,0.0414651539088342,"L2_Logistic_Regression"
0.01,"L1",0.001,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
0.01,"L1",0.01,0.5,0.998,0.002,0,0.0447213595499958,0.0447213595499958,"L2_Logistic_Regression"
