	level_1	AUC
464	Cross-validation	0.7439024390243902
465	Cross-validation	0.7329472329472331
466	Cross-validation	0.8616473616473616
467	Cross-validation	0.7574002574002574
468	Cross-validation	0.7192460317460317
469	Cross-validation	0.720189701897019
470	Cross-validation	0.7570785070785071
471	Cross-validation	0.7741312741312741
472	Cross-validation	0.7956885456885457
473	Cross-validation	0.8214285714285714
474	Cross-validation	0.8194444444444444
475	Cross-validation	0.7696267696267696
476	Cross-validation	0.778957528957529
477	Cross-validation	0.7425997425997425
478	Cross-validation	0.8088624338624337
479	Cross-validation	0.7103658536585367
480	Cross-validation	0.6949806949806949
481	Cross-validation	0.7464607464607466
482	Cross-validation	0.675997425997426
483	Cross-validation	0.8482142857142858
484	Cross-validation	0.8678861788617886
485	Cross-validation	0.7779922779922779
486	Cross-validation	0.7541827541827543
487	Cross-validation	0.7747747747747747
488	Cross-validation	0.8111772486772487
489	Cross-validation	0.7391598915989159
490	Cross-validation	0.8014800514800515
491	Cross-validation	0.7937580437580438
492	Cross-validation	0.7995495495495496
493	Cross-validation	0.7347883597883598
494	Cross-validation	0.7513550135501356
495	Cross-validation	0.8175675675675675
496	Cross-validation	0.7972972972972973
497	Cross-validation	0.7406692406692408
498	Cross-validation	0.6875
499	Cross-validation	0.7483062330623306
500	Cross-validation	0.7516087516087517
501	Cross-validation	0.7548262548262549
502	Cross-validation	0.7284427284427285
503	Cross-validation	0.6987433862433862
504	Cross-validation	0.837059620596206
505	Cross-validation	0.8005148005148005
506	Cross-validation	0.7921492921492921
507	Cross-validation	0.7477477477477478
508	Cross-validation	0.7202380952380953
509	Cross-validation	0.7804878048780487
510	Cross-validation	0.7422779922779923
511	Cross-validation	0.738095238095238
512	Cross-validation	0.7767052767052767
513	Cross-validation	0.8525132275132276
514	Cross-validation	0.7218834688346883
515	Cross-validation	0.7155727155727156
516	Cross-validation	0.7931145431145431
517	Cross-validation	0.7493564993564993
518	Cross-validation	0.8260582010582012
519	Cross-validation	0.6443089430894309
520	Cross-validation	0.7432432432432432
521	Cross-validation	0.7837837837837839
522	Cross-validation	0.7464607464607466
523	Cross-validation	0.7589285714285715
524	Cross-validation	0.7794715447154471
525	Cross-validation	0.7747747747747749
526	Cross-validation	0.787001287001287
527	Cross-validation	0.6946589446589447
528	Cross-validation	0.800925925925926
529	Cross-validation	0.8231707317073171
530	Cross-validation	0.8162805662805663
531	Cross-validation	0.7635135135135136
532	Cross-validation	0.8555341055341056
533	Cross-validation	0.7804232804232802
534	Cross-validation	0.6378726287262872
535	Cross-validation	0.7406692406692407
536	Cross-validation	0.7548262548262548
537	Cross-validation	0.7136422136422137
538	Cross-validation	0.7698412698412698
539	Cross-validation	0.8004742547425474
540	Cross-validation	0.7837837837837838
541	Cross-validation	0.7043114543114544
542	Cross-validation	0.8172458172458172
543	Cross-validation	0.7824074074074074
544	Cross-validation	0.7161246612466126
545	Cross-validation	0.7265122265122266
546	Cross-validation	0.7747747747747747
547	Cross-validation	0.777027027027027
548	Cross-validation	0.7919973544973545
549	Cross-validation	0.7669376693766937
550	Cross-validation	0.7927927927927927
551	Cross-validation	0.7731660231660231
552	Cross-validation	0.7294079794079793
553	Cross-validation	0.72255291005291
554	Cross-validation	0.8021680216802167
555	Cross-validation	0.7580437580437581
556	Cross-validation	0.6476833976833978
557	Cross-validation	0.7612612612612613
558	Cross-validation	0.763558201058201
559	Cross-validation	0.8455284552845528
560	Cross-validation	0.7702702702702703
561	Cross-validation	0.7802445302445302
562	Cross-validation	0.8037323037323036
563	Cross-validation	0.7387566137566137
564	Cross-validation	0.7289972899728996
565	Cross-validation	0.7545045045045045
566	Cross-validation	0.7586872586872586
567	Cross-validation	0.7586872586872586
568	Cross-validation	0.7671957671957671
569	Cross-validation	0.7913279132791328
570	Cross-validation	0.7477477477477477
571	Cross-validation	0.7451737451737452
572	Cross-validation	0.7921492921492921
573	Cross-validation	0.7916666666666666
574	Cross-validation	0.7483062330623306
575	Cross-validation	0.7770270270270272
576	Cross-validation	0.7921492921492922
577	Cross-validation	0.704954954954955
578	Cross-validation	0.7814153439153438
