"cost","Loss","Accuracy","Kappa","AccuracySD","KappaSD","model"
0.1,"L2",0.720622714837905,0.423658350031954,0.0382195971704348,0.0807754217220632,"L1_Linear_SVM"
0.12,"L2",0.723190096823008,0.432040956962413,0.0417916724980954,0.0871130236867312,"L1_Linear_SVM"
0.14,"L2",0.721771443746127,0.431271164454138,0.042530872863951,0.0879508328121374,"L1_Linear_SVM"
0.16,"L2",0.719232042219384,0.427682021877047,0.0423653869761468,0.0870602349294001,"L1_Linear_SVM"
0.18,"L2",0.716637080219359,0.423570694461476,0.0433410452721046,0.088841025792625,"L1_Linear_SVM"
0.2,"L2",0.713048550605513,0.417221669940779,0.0427899589870819,0.0874998056509886,"L1_Linear_SVM"
0.3,"L2",0.700336890957144,0.393721262455348,0.0443517317626931,0.0902418111684167,"L1_Linear_SVM"
0.1,"L2",0.690589899551925,0.362257629977571,0.0408502881449139,0.0846080996492489,"L1_Linear_SVM"
0.12,"L2",0.698714610284231,0.380876838607421,0.0423272726082166,0.0870351885466778,"L1_Linear_SVM"
0.14,"L2",0.705250260288235,0.396048377450447,0.0433584137524172,0.088272941416601,"L1_Linear_SVM"
0.16,"L2",0.707252207707904,0.401541484594387,0.0427598741072074,0.0872163710335565,"L1_Linear_SVM"
0.18,"L2",0.706822236834895,0.401960582840223,0.0442190466161779,0.0895045292778435,"L1_Linear_SVM"
0.2,"L2",0.705016995662565,0.399327742610353,0.0450493338927749,0.0907882242571774,"L1_Linear_SVM"
0.3,"L2",0.699877637130802,0.391700193094484,0.0458444284918472,0.0920857397626997,"L1_Linear_SVM"
0.1,"L2",0.716334336549526,0.413062347838816,0.0398330890827347,0.0847160443963315,"L1_Linear_SVM"
0.12,"L2",0.715592226339062,0.413833690410049,0.041871294721625,0.0878666440554112,"L1_Linear_SVM"
0.14,"L2",0.714681782352668,0.414209848697938,0.0429642607903183,0.0890610236245706,"L1_Linear_SVM"
0.16,"L2",0.711849176140315,0.410188424179878,0.0430443516930569,0.0883820410368908,"L1_Linear_SVM"
0.18,"L2",0.707141803344335,0.401867356946251,0.0427799274001252,0.0875253645812838,"L1_Linear_SVM"
0.2,"L2",0.704055332852801,0.396655926702813,0.0430336125504366,0.0876330068958153,"L1_Linear_SVM"
0.3,"L2",0.694832142541003,0.380975491193252,0.0450767182062704,0.0904735975424948,"L1_Linear_SVM"
0.1,"L2",0.688448627322045,0.356683641042557,0.0394355631951559,0.0812247115635901,"L1_Linear_SVM"
0.12,"L2",0.695520867318336,0.374264303727597,0.0408916872268706,0.083026566881059,"L1_Linear_SVM"
0.14,"L2",0.700913065837116,0.387762554472285,0.0425684857377121,0.0855655994071965,"L1_Linear_SVM"
0.16,"L2",0.70264463806236,0.393126820660124,0.0437662694096789,0.0872633265339893,"L1_Linear_SVM"
0.18,"L2",0.700655981149652,0.390802436865094,0.0453084274688961,0.0898181863043478,"L1_Linear_SVM"
0.2,"L2",0.699866850449129,0.390442154119464,0.0454986024502762,0.08952132896512,"L1_Linear_SVM"
0.3,"L2",0.690126430531494,0.374586096246072,0.0498239999396739,0.0960701020984382,"L1_Linear_SVM"
0.1,"L2",0.695588643424086,0.369548149582333,0.0412641163987323,0.0875256391614357,"L1_Linear_SVM"
0.12,"L2",0.703996396009054,0.389632666430418,0.0419212478430135,0.0878116972103983,"L1_Linear_SVM"
0.14,"L2",0.710764547688598,0.406035114384661,0.0434127536954525,0.0902680868631798,"L1_Linear_SVM"
0.16,"L2",0.715953915283029,0.418729168446035,0.0435990453602444,0.0901706770977025,"L1_Linear_SVM"
0.18,"L2",0.717002626065917,0.422470537975566,0.0433146443936452,0.0892798065177584,"L1_Linear_SVM"
0.2,"L2",0.716706411731728,0.423068644844078,0.0438549028491892,0.0899619445001408,"L1_Linear_SVM"
0.3,"L2",0.704299257704321,0.401536084591102,0.0469284089979824,0.0949032666013565,"L1_Linear_SVM"
0.1,"L2",0.702437448627322,0.398034844799477,0.0482011797132244,0.0945305388263528,"L1_Linear_SVM"
0.12,"L2",0.689867925323622,0.376544039773489,0.0494988144890469,0.0967813642859014,"L1_Linear_SVM"
0.14,"L2",0.678723175558619,0.356243823705833,0.0492950978535649,0.0963132357307116,"L1_Linear_SVM"
0.16,"L2",0.669280967977171,0.338736054008964,0.0472887960012868,0.0927166959721939,"L1_Linear_SVM"
0.18,"L2",0.664646640279552,0.330637223208005,0.0487282788428739,0.0952533581408337,"L1_Linear_SVM"
0.2,"L2",0.660955896424251,0.324087296624065,0.0486605219865974,0.0946394312902026,"L1_Linear_SVM"
0.3,"L2",0.649071224134515,0.302581649021258,0.0493192697227358,0.0952567303122596,"L1_Linear_SVM"
0.1,"L2",0.707168527674857,0.393788093689694,0.0399282751207503,0.0847227657440423,"L1_Linear_SVM"
0.12,"L2",0.709135703958489,0.40012938432547,0.0408215245601235,0.0853931299889413,"L1_Linear_SVM"
0.14,"L2",0.7071921706985,0.398457189544303,0.041616030168394,0.0859301251574746,"L1_Linear_SVM"
0.16,"L2",0.701465083439767,0.388770372466659,0.0417408193373087,0.0858519546727666,"L1_Linear_SVM"
0.18,"L2",0.697062224695136,0.381435252387058,0.0410860346812663,0.0840065391855781,"L1_Linear_SVM"
0.2,"L2",0.69424621370191,0.377084505900432,0.042492225236485,0.0865692396057044,"L1_Linear_SVM"
0.3,"L2",0.685809865240245,0.364013727711227,0.046871260216614,0.0941889258735708,"L1_Linear_SVM"
0.1,"L2",0.70750375784553,0.409855268800784,0.0471586816541628,0.093505373175142,"L1_Linear_SVM"
0.12,"L2",0.709561565017261,0.414611055325274,0.0473865460352919,0.0946247073827736,"L1_Linear_SVM"
0.14,"L2",0.70294149310605,0.402017245244018,0.0477432972826059,0.0951876179835544,"L1_Linear_SVM"
0.16,"L2",0.694248127400026,0.385585138098736,0.0473258925070876,0.0941555548806415,"L1_Linear_SVM"
0.18,"L2",0.68641031120778,0.371027041461525,0.0465855772241222,0.092212338737896,"L1_Linear_SVM"
0.2,"L2",0.682264802707841,0.363587751416624,0.0466427508291569,0.0921460562607867,"L1_Linear_SVM"
